,Temperature,Humidity,Light,CO2,HumidityRatio
196,19.5,27.6,0,444,0.00386517
197,23,2983.463333,310,446,0.003027351
198,250.89,19.05,0,441,0.002728232
199,21.05,24.945,0,443,0.003844489
200,21,18.7,257,456.5,0.002868696
201,20.15,23.895,0,440,0.003481853
202,19.39,26.79,0,458,0.003725317
203,21.42666667,34.06,469,1367.666667,0.005385233
204,21.7,26.79,0,520,0.004299774
205,20.1,26.29,34.66666667,422.3333333,0.003821076
206,22.2,27.1,474,1119.75,0.004485611
207,20.56666667,19.5,0,437,0.002912869
208,20.2,5893.09,0,455,0.004847194
209,21.2,25.39,0,464,0.003949949
210,20.2,19.05,0,444.5,0.002781346
211,20.1,19.29,130.5,460,0.002799094
212,19.5,7619.29,0,441.5,0.004244454
213,19.39,31,0,437,0.004314804
214,20.79,22.79,0,458,0.003454488
215,19.79,19.2,0,434,0.002732733
216,19.89,9283.2,0,440,0.003758402
217,20.79,2308,14,437.3333333,0.003029523
218,22.35666667,17.79,350,459,0.002965614
219,21.39,33.3,471.5,1442.5,0.005252138
220,20.1,29.823,406.75,710.125,0.004338155
221,773.2,31.6,0,434,0.004346797
222,22.05,26.55,469,1039,0.00435367
223,776.7,20.865,433,778.5,0.003343704
224,287.08,26.216,461.5,1006.5,0.004306446
225,20.7,31.79,429,1127.666667,0.004802391
226,22.1,39.045,438,2008.25,0.006443575
227,19.6,29.79,0,440,0.004200122
228,22.1,21.3925,486.5,908.5,0.003513935
229,19.445,26.39,0,471.5,0.00368202
230,21.29,2736.29,0,689,0.00317006
231,21.2,19.2675,37,435.75,0.002992882
232,21.445,25.745,0,487.25,0.004066556
233,20.89,23.15,0,448.5,0.003531152
234,19.89,18.89,0,436,0.002705218
235,20.7,22.5,0,456.5,0.003391335
236,19.39,27.05,0,464.5,0.00376169
237,20.63333333,31.26,447,1018,0.004702213
238,21.5,19.29,516.25,654,0.003052283
239,19.39,31.1,0,437,0.00432882
240,21.39,20.5,0,722.5,0.003222838
241,19.39,5658.89,0,467,0.003739306
242,21.7,21.53333333,447,871.6666667,0.003451402
243,19.245,27.6,0,429,0.003803931
244,19.39,26.745,0,467,0.003719022
245,19.39,26.89,0,459.6666667,0.003739306
246,20,18.7,0,441,0.002696288
247,20.5,21,0,455,0.003125123
248,19.89,8755.79,0,439,0.002690836
249,19.16666667,31.39,0,428.6666667,0.004308685
250,19.89,26.6,0,441,0.003816134
251,19.79,19.29,0,437,0.002745599
252,20.5,19.2,0,481,0.002856025
253,19.445,27.55,0,449,0.003844867
254,19.7,28.39,0,435.5,0.004026558
255,21,20.865,438,744.25,0.003202531
256,22.34,26.1,103,916.5,0.004356163
257,22.1,38.86333333,442.3333333,1995.333333,0.006413286
258,21.2,25.34,0,465.5,0.003942121
259,22.29,26.1,441,1054.666667,0.004342837
260,19.5,27.2,0,460,0.00380881
261,22.05,37.645,0,1742,0.006191138
262,20.2,33.09,0,454,0.004847194
263,20.29,5954.5,0,439,0.002715832
264,21.675,21.175,433,813.75,0.003388442
265,20.5,1889.89,0,438.5,0.002959152
266,20.39,18.65,0,431,0.002754992
267,20.55,21.1,0,454,0.00314983
268,625.8566667,19.76,433,598.6666667,0.00300536
269,22.525,28.39,526.25,1094,0.004795324
270,19.5,30.5,0,441,0.004274083
271,21.1,25.06666667,0,439,0.003875316
272,19.7,30.2,71.5,434,0.004285039
273,19.5,27.79,0,449.5,0.003891944
274,,17.6,116,440.5,0.002921859
275,21.2,19.34,0,486.5,0.003004198
276,809.39,22.245,0,433,0.003288856
277,20.39,18.6,0,432,0.002747573
278,19.39,8026.05,0,466,0.00376169
279,19.7,19.29,0,448,0.002730238
280,20.15,33,0,449.5,0.004818864
281,21.73,20.35666667,504,801.6666667,0.003267833
282,22.1,23.99666667,433,866,0.003944408
283,20.945,23.5,0,448.5,0.003597065
284,20.29,18.39,0,432,0.002699613
285,20.4725,2966.9175,433,921.5,0.004604064
286,23.06666667,17.35666667,305,450.25,0.003020992
287,19.175,30.89,13,429.5,0.004241804
288,20.39,21.29,0,445.6666667,0.003146948
289,557.65,19.4725,408.5,531,0.002923796
290,22.29,17.815,357.5,455.4,0.002957722
291,21,4802.5,0,442.5,0.003763837
292,20.1,24.1,0,438.5,0.003500982
293,20.5,21.1,0,435,0.003140079
294,19.2,31.13333333,0,433,0.004282162
295,20.39,18.5,0,428.5,0.002732736
296,20.15,19.1,0,450,0.002780028
297,21.7,20.4425,467.75,801,0.00327564
298,20,18.7,0,443.5,0.002696288
299,19.65,28.945,0,441,0.00409298
300,536,16.745,189,442.75,0.002902243
301,23.15,4481.2,426,708.25,0.004771509
302,19.5,30.1,0,436.6666667,0.00421765
303,20.2,33,0,447.5,0.004833908
304,20.1,24.1,0,441,0.003500982
305,21.56666667,33.79,474,1399,0.005388569
306,19.5,27.7,0,445.6666667,0.003879261
307,20.2,18.5,0,432.6666667,0.002700696
308,19.1,31.39,0,434,0.004290686
309,20.6,19.35666667,0,525,0.002897336
310,20.29,29.315,279.75,429,0.004314505
311,20.29,18.79,0,431.5,0.002758593
312,19.39,26.84,0,461,0.003732311
313,21.2,19.39,0,473,0.003012003
314,274.73,22.5,419,472,0.003397643
315,20.05,18.84,0,438.5,0.002725024
316,21.89,37.4725,444,1774.5,0.006102036
317,20.39,26.2,68,425.75,0.003877236
318,20,18.89,0,442.5,0.002723803
319,22.075,23.9725,426,839,0.003934372
320,22.2,38.4,433,1923.75,0.006375165
321,21.84,23.745,0,805,0.003840981
322,20.1,33,0,443.5,0.004803862
323,19.7,19.39,0,443,0.002744454
324,21.89,37.4,0,1694,0.006090114
325,21.7,23.39,0,763,0.003750786
326,20.89,24.29,0,442,0.003706077
327,21,20.815,438,740.75,0.003194817
328,20.5,21.29,0,436.5,0.003168499
329,20.7,27.39,197.25,424,0.004133283
330,22.1,26.5,465.25,1054,0.004358773
331,21.7,20.35666667,500.6666667,799.6666667,0.003261815
332,20.7,1231.815,82,423.5,0.004197851
333,20.5,33.29,0,596.5,0.004968673
334,20.7,9910.7,0,455.6666667,0.003421646
335,22.1,27.2,0,576.5,0.004474738
336,22.1,39,433,2005,0.006436072
337,19.2,31.39,0,428,0.004317709
338,22.175,24.39,433,900.5,0.004027962
339,22.2,26.376,439.8,795.2,0.004364933
340,20.2,8572.5,0,427.5,0.002700696
341,19.39,26.29,0,463,0.00365538
342,19.1,31.39,0,439,0.004290686
343,19.445,26.7,0,462,0.003725531
344,20.29,18.7,0,439,0.002745321
345,19.245,30.55,24,435,0.004213265
346,19.6,29.5,0,438,0.004158961
347,19.445,26.795,0,466.5,0.003738866
348,19.89,19.05,0,442.5,0.002728232
349,22.625,2297.4975,565.75,1037.5,0.004500811
350,21.675,21.1,500.25,853.75,0.003376376
351,675.6333333,35.23,0,1018,0.005304484
352,22.245,4129.89,347.5,456.75,0.00296207
353,19.245,2697.575,6,430.25,0.004216736
354,19.29,27.6,0,435,0.003814675
355,19.32333333,26.03333333,0,469,0.003604408
356,19.26,31.16666667,46,438,0.004302947
357,21.79,1086.6,462.75,834.25,0.003319316
358,20.89,23.39,0,450.5,0.00356797
359,21.7675,19,543.75,626,0.003056012
360,19.29,30.945,13,430,0.004280179
361,20.39,6469.823333,0,428.6666667,0.002780711
362,19.5,27.79,0,447,0.003891944
363,20.2,33.09,0,446,0.004847194
364,20.29,33,0,465,0.004861092
365,21.9175,27.1,0,556.5,0.004408469
366,19.89,26.29,0,440.5,0.003771391
367,20.85666667,19.82333333,6,446,0.003015039
368,21.29,33.145,471.5,1419.25,0.005195269
369,22.2,26.05,444,782,0.00431061
370,19.96333333,28.96,399.6666667,622,0.004176036
371,22.29,25.89,459,797,0.004307653
372,19.13333333,31.2,0,433.6666667,0.004273473
373,937.29,32.9,0,461.3333333,0.004846247
374,19.945,18.7,0,438.5,0.002687076
375,22,8535.519,505.75,939.375,0.004170647
376,20,18.89,0,442.6666667,0.002723803
377,20.89,23.5,0,444.25,0.003584847
378,21.2675,32.9725,469,1122.666667,0.005160819
379,691.89,26.79,0,440,0.003843561
380,19.79,26.6,36.66666667,421,0.003792396
381,20.29,19.2,0,454,0.002819058
382,22,38.645,438,1940,0.006337727
383,927.29,19.55,486.5,658.5,0.003053876
384,19.7,19.5,14,454.75,0.002760093
385,22.1,38.2,433,1880,0.006302712
386,19.29,26.79,0,464.5,0.003702057
387,583.34,21.2675,455.5,830.25,0.003333858
388,21.15,19.55,0,497,0.003027626
389,,33,0,455.5,0.004803862
390,761.4633333,30.56666667,26,428.6666667,0.004273666
391,19.39,31.2,0,431.5,0.004342836
392,20.13333333,33,0,446.6666667,0.004813859
393,21.5,34.0675,489,1235.5,0.005410888
394,22.445,26.695,429,1077.5,0.004484933
395,19.2,31.125,6.5,433.5,0.004281008
396,22.05,7952.9975,438,1994.25,0.006415866
397,22,37.59,0,1742,0.006162995
398,22.2,27.1,441,839,0.004485611
399,21.7,20.945,433,780.75,0.003356594
400,21.745,18.29,54.5,440,0.002937213
401,20.39,33,0,540.5,0.004891455
402,22.6,28.13333333,469,1107.333333,0.004773499
403,19.66666667,26.85666667,31,415.6666667,0.003799832
404,22.075,26.2,450.25,1023.5,0.004302479
405,21.89,18.1,324,457.25,0.002932538
406,19.5,27.39,0,449.5,0.003835579
407,,19.39,0,481.3333333,0.003012003
408,21.2,25.1,0,447.5,0.00390455
409,220.29,27.29,0,426,0.00377157
410,19.89,19.1,0,439,0.002735425
411,22.2,27,449.5,1136.5,0.00446894
412,20.29,33.09,0,456.3333333,0.004874453
413,646.39,32.9,0,524,0.004876516
414,22.6,17.2,148,442.5,0.002909717
415,20,26.29,36.66666667,421,0.003797345
416,19.29,31.6,0,441,0.004371412
417,19.79,19.29,0,440,0.002745599
418,21.5,26,0,492.6666667,0.00412105
419,22.2,27.29,0,592,0.004517288
420,22.5,28.39,522,1103.333333,0.004787989
421,20.16666667,33,0,446.6666667,0.004823874
422,19.39,1570.89,0,463.5,0.003739306
423,20.1,6933.066667,0,444.6666667,0.003058167
424,379.39,25.89,0,469,0.003599442
425,19.1,31.39,0,432,0.004290686
426,20.2,33.09,0,451,0.004847194
427,21.1,25.39,0,449,0.003925619
428,20.29,33,0,452.5,0.004861092
429,19.245,31.5,0,431,0.004345198
430,22.125,21.7475,499,922,0.003578061
431,20.89,24.39,0,440,0.003721425
432,20.29,33,0,467,0.004861092
433,824,18.89,0,440.3333333,0.002723803
434,434.39,24.29,444,753.75,0.003822332
435,705.2,31.7,0,426,0.004360649
436,19.65,28.945,0,443.5,0.00409298
437,19.39,27.445,0,446,0.003816957
438,19.42666667,26.89,0,460,0.003747899
439,20.29,33,0,468.6666667,0.004861092
440,20.6,19.445,0,434,0.00291062
441,19.55,30.34,0,437.5,0.004264836
442,20.29,9651.9,0,461,0.004846247
443,21.79,21.745,438,914,0.003504852
444,21,24.445,0,443.5,0.003755336
445,19.5,27.1,0,461,0.003794721
446,19.39,27.6,0,444,0.003838647
447,736.29,32.96666667,0,466.3333333,0.004856144
448,544.79,22.05,444,961.5,0.003554292
449,20.5,21.1,0,454.5,0.003140079
450,856.39,26.2675,438,1052.75,0.004397765
451,20,18.7,0,432,0.002696288
452,22.05,8973.645,0,1742,0.006191138
453,21.2675,32.95,13,1159.75,0.005157269
454,20.39,21.29,0,444.5,0.003146948
455,21.7,20.34,528.5,798.5,0.00325913
456,20.5,19.79,0,433.6666667,0.002944204
457,19.39,31.15,0,436.5,0.004335828
458,20.1,18.89,0,446,0.002740796
459,20.89,24.89,0,441,0.003798181
460,20.1,33.09,0,441,0.004817065
461,20.5,21.39,0,437,0.003183458
462,20.79,20,0,464,0.003029523
463,528.125,27.2,0,582,0.00448161
464,20.2,18.56666667,0,430,0.002710471
465,20.2,19.1,0,447,0.002788679
466,22.1,39.1175,433,2012.5,0.006455664
467,22.89,26.175,579.25,997.5,0.004518185
468,20.5,33.79,0,714,0.005043906
469,20.89,23.5,0,444.5,0.003584847
470,19.29,26.79,0,461,0.003702057
471,22.315,26.865,606.5,1063,0.004477898
472,19.5,26.2,0,466,0.003667954
473,21.65,21.2,433,819.5,0.003387254
474,20.89,6518.5,0,440.5,0.003584847
475,19.89,18.89,0,438,0.002705218
476,19.89,,0,436.3333333,0.002705218
477,19.5,30.29,0,444.6666667,0.004244454
478,20.29,20.7,0,441.5,0.003040374
479,768,25.29,0,440,0.003652056
480,20.1,21.06666667,0,444.6666667,0.003058167
481,21.245,25.2,0,458.5,0.003931113
482,20.445,33.245,0,617.5,0.004944955
483,20.7,27.39,147.5,420.5,0.004133283
484,396.39,27.2,0,465.5,0.003782676
485,22.39,8715.963333,444,1067.333333,0.004515109
486,762,24.5,0,445,0.003763837
487,22.23,25.82333333,454,777.3333333,0.004280711
488,22.29,25.89,447,1036.333333,0.004307653
489,22.55,27.7,454.75,1092,0.004685063
490,20.1,33.09,0,445,0.004817065
491,20.7,26.55,77.5,416,0.004005707
492,19.5,26.7,0,460.5,0.003738374
493,19.39,27.5,0,445,0.003824654
494,1005.65,19.34,0,449,0.002728822
495,19.39,27.2,7,425.5,0.003782676
496,19.29,26.79,0,469,0.003702057
497,539.84,28.6975,389,578.75,0.004106207
498,692.73,34.46666667,419,563.3333333,0.00521985
499,19.39,26.82333333,0,466,0.00372998
500,21.7675,20.3175,496.5,806,0.003269036
501,22.2,27.075,460,1129,0.004481443
502,22.815,17.6,334.5,461.75,0.003016993
503,20.29,32.9,0,460,0.004846247
504,20.39,26.23,54.33333333,426,0.003881703
505,20.15,18.89,0,444,0.002749327
506,20,25.2675,0,439,0.003648788
507,20,18.79,0,436.5,0.002709321
508,20.79,20.2,0,460,0.003059967
509,21.9725,37.9475,444,1845.5,0.00621166
510,21.075,19.575,24,441.25,0.003017517
511,20.1,24.15,0,440,0.003508287
512,22.1,39.0425,442.5,2014,0.006443158
513,19.5,27.7,0,450,0.003879261
514,20.46333333,18.7,0,429.5,0.002775002
515,19.1,31,15,437,0.004237014
516,21.7,19.16666667,509,646,0.003070196
517,20,18.7,0,439,0.002696288
518,22.2,26.6,449.5,1075.5,0.004402265
519,21,19.6,0,464,0.00300743
520,20.79,20.245,0,460,0.003066817
521,22.2,26.6,442.5,818.5,0.004402265
522,19.58,26.79,23.8,421.75,0.003769866
523,20.6,20.7,0,440,0.00309941
524,20.7,35.59,0,1101.5,0.005381409
525,20.29,20.79,0,446.3333333,0.003053658
526,19.5,26.6,0,469,0.003724289
527,20.245,18.6,0,439.5,0.002722958
528,21.29,19.7,440,660,0.003077424
529,21.96333333,37.89666667,444,1846.666667,0.006199753
530,19.5,27.6,0,451,0.00386517
531,21.89,37.3975,444,1744.75,0.006089703
532,19.39,27.5,0,455,0.003824654
533,717.39,20.5,0,724,0.003222838
534,20.5,33.7225,407.5,495.5,0.005033748
535,20.29,33,0,492,0.004861092
536,20.745,20.39,0,458.5,0.003080302
537,801,18.7,0,443.5,0.002696288
538,20.5,33.7,0,694.3333333,0.005030363
539,20.89,23.6,0,448.5,0.00360019
540,20.29,32.9,0,453,0.004846247
541,19.5,27,0,471,0.003780633
542,19.5,27.65,0,443,0.003872215
543,22.06666667,26.42666667,464,1044.666667,0.004337742
544,566,25,0,445,0.003841124
545,20.2,32.9,0,445,0.004819147
546,21.1,25.39,0,457,0.003925619
547,20.6,35.09,0,1001,0.005272288
548,22.7,26.89,520,1110.333333,0.004588962
549,20.29,32.9,0,461,0.004846247
550,21.39,20.865,449.5,798.5,0.003280523
551,20.79,1245.075,10.5,440,0.003040939
552,19.29,26.89,0,463,0.003715958
553,20.79,35.73,0,1145.666667,0.005433055
554,21.2,19.29,0,490,0.002996394
555,20.29,32.96666667,0,482,0.004856144
556,21.7,20.39,567.5,805.5,0.003267184
557,21.1,25.39,0,450,0.003925619
558,20.89,23.5,0,446.5,0.003584847
559,19.29,27.63333333,0,434,0.003819311
560,22.675,26.865,604.75,1103.25,0.004577664
561,19.5,26.6,0,463,0.003724289
562,20.2,32.9,0,447,0.004819147
563,20.89,23.175,396,514.75,0.003534987
564,23.1,27.2,426,704.5,0.004756993
565,21.9725,37.745,444,1837.5,0.006178184
566,21.39,24.29,451.5,781,0.003822332
567,20.15,23.29,0,438,0.003393215
568,20.5,18.79,0,435,0.002794763
569,20.5,34.59,0,882,0.005164315
570,22.7,27.5,0,667,0.004693849
571,20.29,32.9,0,457,0.004846247
572,667.39,30.89,0,434,0.004299388
573,19.29,31.6,0,430,0.004371412
574,21.29,20.5,0,703,0.003203039
575,20.5,33.2,0,585,0.004955134
576,20.5,19.1,0,437,0.002841082
577,20.15,23.55,0,438.5,0.003431304
578,20.1,21,0,442,0.003048442
579,21.9725,18.05,74,440.5,0.00293923
580,729.5,34.2,0,796.25,0.00510561
581,20.7,26.745,186,428,0.004035318
582,22.39,4632.4175,128.25,442,0.002909148
583,21.29,21.1,0,593,0.003297283
584,19.2,31.39,0,431,0.004317709
585,20.15,18.945,0,440.5,0.002757368
586,19.29,31.5,0,436.6666667,0.004357482
587,22,4427.89,433,840.6666667,0.003902744
588,20.53333333,19.16666667,0,429.6666667,0.00285694
589,20.5,18.84,0,434.5,0.002802233
590,19.445,26.65,0,468.5,0.003718513
591,19.7,26.79,31,421.5,0.003798244
592,21,25,0,439.5,0.003841124
593,20.745,6213.89,1451.75,453,0.002852659
594,20.6,19.39,0,519.5,0.002902349
595,335.39,33.46666667,478,1458,0.005278649
596,22.175,27.125,460,1136,0.004482898
597,20.89,24.79,0,448,0.003782829
598,20.39,33,0,499,0.004891455
599,20.125,29.445,247.5,427,0.004289469
600,19.39,9730.2,0,427.5,0.003782676
601,19.525,27.365,392.5,486.75,0.003838055
602,22.05,25.7475,508.5,961.5,0.004221183
603,21.575,26.315,0,500.5,0.004190637
604,20.89,23.2,0,453,0.003538822
605,21.34,25.7,0,476,0.004033195
606,21.2,25.29,0,463,0.003934293
607,20.92666667,24.89,0,444,0.00380681
608,19.6,29.79,0,436.5,0.004200122
609,20.89,3161.2,0,449,0.003538822
610,21.2,25.39,0,471,0.003949949
611,19.39,7152.7,0,470.3333333,0.003712727
612,21.7225,20.5,490.25,816,0.003289448
613,19.7,19.39,0,442,0.002744454
614,19.2,31.6,0,428.6666667,0.004346797
615,568.7,20.39,479,786.5,0.003267184
616,20.5,19.745,0,431.5,0.002937477
617,22,37.56,0,1737,0.006158027
618,22.29,25.92666667,453,795.25,0.004313796
619,618.79,18.29,52,442,0.002945339
620,21,25,0,440,0.003841124
621,20.89,20.13333333,442.3333333,677.3333333,0.003068739
622,20.29,18.65,0,427,0.002737949
623,22.39,17.7,338,453.6666667,0.002956556
624,20.29,33.09,0,451.5,0.004874453
625,21.5,26.15,0,501.5,0.004144984
626,21.6,36.925,0,1534.25,0.005905398
627,20,24.89,0,439,0.003593959
628,19.29,30.53333333,24,427.6666667,0.004222852
629,20.56666667,19.5,0,437.6666667,0.002912869
630,20.445,33.045,0,545.5,0.004914971
631,22.175,24.365,433,900.25,0.004023807
632,19.2,31.13333333,14,437.3333333,0.004282162
633,19.39,31.1,0,437,0.00432882
634,19.2,31.1,0,432,0.004277545
635,264.5,19.89,0,438.5,0.002959152
636,22,17.9725,77.5,446.5,0.002931487
637,22.39,27.5,0,625.5,0.004605641
638,19.79,2891.6,33.5,424.25,0.003792396
639,20.32333333,33,0,480.3333333,0.004871194
640,22.29,26.1,459,844.6666667,0.004342837
641,20,18.79,0,435,0.002709321
642,22.2,27.2,0,595,0.004502283
643,21.35666667,20.92666667,460,796.3333333,0.003283519
644,22.6,28.2,513.5,1103,0.004784898
645,19.7,19.39,0,448,0.002744454
646,20.5,21.245,0,442,0.003161768
647,19.6,29.79,0,435.5,0.004200122
648,335.15,33.09,0,446,0.004832109
649,21.39,25.7,0,479,0.004045656
